canonical_name,place_type,place_status,verification_status,source_datasets,aliases,notes
Aberdeen Lab & X-Ray,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,Aberdeen Lab & X-Ray,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2020/2021, total payments $6,232,082.57."
BCCDC-PHL Lower Mainland Laboratories,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,BCCDC-PHL Lower Mainland Laboratories,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2016/2017 to 2020/2021, total payments $510,911.74."
Granville Allergy Lab Ltd.,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,Granville Allergy Lab Ltd.,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $248,027.37."
"Greig Associates X-ray, Ultrasound and Mammography Inc.",diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,"Greig Associates X-ray, Ultrasound and Mammography Inc.","Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $14,625,553.03."
"Grieg Associates X-ray, Ultrasound and Mammography Inc.",diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,"Grieg Associates X-ray, Ultrasound and Mammography Inc.","Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $72,372,380.86."
Keremeos Diagnostic Centre,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,Keremeos Diagnostic Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $82,030.94."
Lindsay Diagnostic Imaging Services Inc,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,Lindsay Diagnostic Imaging Services Inc|Lindsay Diagnostic Imaging Services Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $6,200,795.62. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $820,453.07."
Mayfair Diagnostics Inc,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,Mayfair Diagnostics Inc,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $263,199.59."
North Shore Medical Imaging Inc,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,North Shore Medical Imaging Inc|North Shore Medical Imaging Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $60,754,261.79. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $11,641,675.89."
PHL Lower Mainland Laboratories,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,PHL Lower Mainland Laboratories,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $672,701.45."
UBC Ophthalmic Ultrasound,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,UBC Ophthalmic Ultrasound,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $2,209,209.41."
Valley Medical Laboratories,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,Valley Medical Laboratories,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2020/2021 to 2024/2025, total payments $86,093,394.12."
West Coast Medical Imaging Inc,diagnostic_facility,physical_place,needs_review,bc_msp_blue_book,West Coast Medical Imaging Inc,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $270,784,668.72."
